"","Local","parcela","Evento","A","P","Imed","I30max","EI30","Vol","Lamina","C","qmax","qmed","Ia","PS","CSSmax","CSSmed","PSesp","CentQ","CentP","Tlw","Tw","Tb","Tlp","Tlpc","Tlc","Tr","Tc","TQC","IH","Qmid","Tempo.retorno"
"117","Guarapuava","PST","16/01/2022",11000,69.0227,25.8835247,"46.7","57803.66771",2.03778835,0.185253486,0.268394889,2.93459278,0.10613481,68.84,NA,NA,NA,NA,100,85,80,160,80,95,15,15,25,10,NA,NA,1.46729639,4.245936266
"118","Guarapuava","PST","25/02/2022",11000,61.3499,43.3057973,"64.2","90895.09237",0.40724267,0.037022061,0.060345776,0.238147186,0.01655458,61.313,NA,NA,NA,NA,25,29.99999999,25,85,54.99999999,10,15,4.999999995,15,25.00000001,NA,NA,0.119073593,6.354553309
"119","Guarapuava","PST","02/06/2022",11000,32.0578,9.522105386,"16.5","9576.174318",8.469452648,0.769950241,2.401759716,2.002015695,0.438377466,31.29,NA,NA,NA,NA,204,152,58,202,134,98.00000001,40,-52,52,9.999999991,NA,NA,1.001007847,0.02959219
"120","Guarapuava","PST","02/06/2022",11000,35.3669,5.076594602,"14.1","9678.493464",1.905084946,0.173189541,0.489693281,0.210816887,0.051881398,35.19,0.055839033,0.225108672,"0.013344424",0.005076276,324,250,168,418,308,266,98.00000001,74,146,14,120,-0.429996173,0.105408443,0.017896379
"121","Guarapuava","PST","20/10/2022",11000,35.8644,22.89217454,"41.7","28119.96749",6.037752001,0.548886546,1.530449253,3.4777,0.529627368,35.32,NA,NA,NA,NA,38,20,18.00000001,94,77.99999999,18.00000001,0,18,29.99999999,10,NA,NA,1.73885,0.211571556
"122","Guarapuava","PST","29/10/2022",11000,21.9501,21.24201792,"42.9","30916.49432",1.167615889,0.106146899,0.48358,1.603166463,0.058884406,21.84,NA,NA,NA,NA,144,132,12,61.99999999,58,18,5.999999999,12,13.99999999,6,NA,NA,0.801583231,0.025176485
"123","Guarapuava","PST","30/10/2022",11000,37.3404,15.13798978,"37.8","23334.97099",19.16162863,1.741966239,4.665101111,7.113391583,1.057485024,35.6,NA,NA,NA,NA,92,54,26,148,180,38,28.00000001,38,55.99999999,40,NA,NA,3.556695791,0.121939893
"124","Guarapuava","PST","17/01/2023",11000,30.5221,43.60300298,"57.06306028","32301.70779",23.99936649,2.18176059,7.148133471,21.49763745,1.801754237,28.34,NA,NA,NA,NA,58.00000003,38.00000001,11.99999994,41.9999999,74.00000002,25.99999992,13.99999997,20.00000002,12.0000001,51.99999999,NA,NA,10.74881873,0.427795
"125","Guarapuava","PST","23/02/2023",11000,34.55201863,35.74346755,"45.58695652","26765.70371",16.20675901,1.473341728,4.264126341,11.1862549,5.402253002,33.07867691,NA,NA,NA,NA,71.99999999,48,28.00000001,58,48,46,18,23.99999999,18,24,NA,NA,5.59312745,0.437954777
"126","Guarapuava","PST","23/02/2023",11000,17.90916149,17.90916149,"29.66770186","8766.763452",10.57693131,0.96153921,5.368979506,8.186968656,3.672545594,16.94762228,NA,NA,NA,NA,156,136,12,60,46,28,16,20,16,2.000000007,NA,NA,4.093484328,0.00797097
